"id","name","lot_id/id","product_id/id","partner_id/id","original_order_id/id","original_customer_id/id","date","zendesk_ref","user_id/id","decision","warranty_limit","to_exchange","to_receive","problem_description","resolution_description","drone_flight_time","drone_flight_num","drone_firmware_version","company_id/id"
"__setup__.rma_3729","RMA05338","__setup__.stock_production_lot_218963","__setup__.product_template_1657","__setup__.res_partner_196","__setup__.sale_order_6678","__setup__.res_partner_196","2017-02-17 10:21:47","26306","__setup__.res_users_190","to_invoice","2017-11-22","false","true","On landing approach the eBee nosedived into sand hard.
Result from the impact caused a malfunction of the pitot tube.
eBee will need to be returned to Sensefly SA for repairs. 
","","0.0","0.0","","base.main_company"
"__setup__.rma_5395","RMA06982","__setup__.stock_production_lot_625014","__setup__.product_template_1658","__setup__.res_partner_2839","__setup__.sale_order_8382","__setup__.res_partner_2839","2017-11-06 8:25:13","33918","__setup__.res_users_191","to_invoice","2018-07-18","false","true","eBee crashed during landing. Autopilot burned.","","0.0","0.0","","base.main_company"
"__setup__.rma_3583","RMA05194","__setup__.stock_production_lot_104652","__setup__.product_template_711","__setup__.res_partner_3950","","","2017-01-13 15:11:39","25306","__setup__.res_users_97","to_invoice","2016-06-25","false","true","- random GPS issue (ticket 23623)
- retrofit needed
- service needed","","0.0","0.0","","base.main_company"
"__setup__.rma_5351","RMA06945","__setup__.stock_production_lot_623467","__setup__.product_template_1657","__setup__.res_partner_1099","","","2017-10-30 14:56:15","33778","__setup__.res_users_191","to_invoice","2018-05-11","false","true","eBee Plus crashed on start - now it is unresponsive (autopilot damaged)","","0.0","0.0","","base.main_company"
"__setup__.rma_2411","RMA04087","__setup__.stock_production_lot_215328","__setup__.product_template_1257","__setup__.res_partner_3169","__setup__.sale_order_5324","__setup__.res_partner_3169","2016-04-25 14:7:30","18465","__setup__.res_users_113","to_invoice","2017-04-22","false","true","- eBee modem has USB port pushed in","","0.0","0.0","","base.main_company"
"__setup__.rma_5276","RMA02166_SINC","__setup__.stock_production_lot_625977","__setup__.product_template_1658","__setup__.res_partner_3149","__setup__.sale_order_8779","__setup__.res_partner_3149","2017-10-18 15:58:16","33480","__setup__.res_users_72","to_invoice","2018-07-10","false","true","100 hour service requested","","0.0","0.0","3.3.4","__setup__.company_mte"
"__setup__.rma_5338","RMA06931","__setup__.stock_production_lot_625588","__setup__.product_template_1749","__setup__.res_partner_4181","","","2017-10-26 15:7:28","33705","__setup__.res_users_191","to_invoice","2018-07-03","false","true","autopilot burned","","0.0","0.0","","base.main_company"
"__setup__.rma_3623","RMA05235","__setup__.stock_production_lot_218831","__setup__.product_template_1261","__setup__.res_partner_5763","__setup__.sale_order_6765","__setup__.res_partner_5763","2017-01-26 8:13:43","25659","__setup__.res_users_96","to_invoice","2017-12-13","false","true","Crash due to left servo head upper bound broken","","0.0","0.0","","base.main_company"
"__setup__.rma_3685","RMA05296","__setup__.stock_production_lot_216135","__setup__.product_template_1261","__setup__.res_partner_91","","","2017-02-08 12:41:36","26030","__setup__.res_users_96","to_invoice","2017-07-20","false","true","temperature + ground sensor warnings under eMotion","","0.0","0.0","","base.main_company"
"__setup__.rma_5177","RMA06732","__setup__.stock_production_lot_626683","__setup__.product_template_1657","__setup__.res_partner_3225","","","2017-10-04 12:33:55","33088","__setup__.res_users_96","to_invoice","2018-07-31","false","true","Crash on takeoff","","0.0","0.0","","base.main_company"
"__setup__.rma_4825","RMA06413","__setup__.stock_production_lot_624273","__setup__.product_template_1658","__setup__.res_partner_6875","__setup__.sale_order_7181","__setup__.res_partner_6875","2017-08-08 15:11:15","30832","__setup__.res_users_113","to_invoice","2018-05-15","false","true","- Servo issues on take off","","0.0","0.0","","base.main_company"
"__setup__.rma_3064","RMA04712","__setup__.stock_production_lot_216748","__setup__.product_template_1261","__setup__.res_partner_2848","__setup__.sale_order_6056","__setup__.res_partner_2848","2016-09-12 9:28:37","21997","__setup__.res_users_97","to_invoice","2017-08-29","true","false","","","0.0","0.0","","base.main_company"
"__setup__.rma_4312","RMA05918","__setup__.stock_production_lot_215677","__setup__.product_template_1257","__setup__.res_partner_91","__setup__.sale_order_5640","__setup__.res_partner_91","2017-05-30 16:42:31","28876","__setup__.res_users_113","to_invoice","2017-06-16","true","false","- eBee battery failed and eBee was lost","","0.0","0.0","3.4.2","base.main_company"
"__setup__.rma_3876","RMA05483","__setup__.stock_production_lot_217680","__setup__.product_template_1580","__setup__.res_partner_10","","","2017-03-27 7:6:28","27376","__setup__.res_users_96","to_invoice","2017-09-27","false","true","The customer says they received a motor failure warning and the aircraft then glided to landing.
The motor was extremely hot and the motor was seized solid.","Appeler SAV ou R&D quand il est là SVP, ne pas réparer directement !","0.0","0.0","","base.main_company"
"__setup__.rma_5078","RMA06654","__setup__.stock_production_lot_622774","__setup__.product_template_1658","__setup__.res_partner_91","__setup__.sale_order_7772","__setup__.res_partner_91","2017-09-15 16:54:52","32535","__setup__.res_users_17","to_offer","2018-05-01","true","false","GNSS sensible on staying for a long time in a circular pattern","Etiquette jaune EP-11-11079 sur etiquette original: EP-11-28918","0.0","0.0","","base.main_company"
"__setup__.rma_5402","RMA02239_SINC","__setup__.stock_production_lot_219903","__setup__.product_template_1658","__setup__.res_partner_6684","__setup__.sale_order_6750","__setup__.res_partner_6684","2017-11-07 14:49:17","34016","__setup__.res_users_120","to_invoice","2017-12-12","false","true","Backwind landing trajectory with ~6m/s wind resulted in the eBee being overspeed and a rough landing. 

","","73.75","184.0","3.3.4","__setup__.company_mte"
"__setup__.rma_5115","RMA02058_SINC","__setup__.stock_production_lot_220561","__setup__.product_template_1658","__setup__.res_partner_3335","","","2017-09-22 19:20:21","32599","__setup__.res_users_99","to_invoice","2018-01-25","false","true","Autopilot not delivering power through motor output. Incident appears to be crash on take-off.
First troubleshooting with PDB at Hayward - RMA02089_SINC","","1.2666666666666666","19.0","3.3.1","__setup__.company_mte"
