"id","asset_id/id","name","sequence","move_check","line_date","amount","remaining_value","depreciated_value",""
"__setup__.account_asset_depreciation_line_97353","__setup__.account_asset_asset_oca_590","590/24","24","false","2014-02-18","8.16","197.77","185.94","true"
"__setup__.account_asset_depreciation_line_97356","__setup__.account_asset_asset_oca_590","590/27","27","false","2014-05-18","8.16","173.29","210.42","true"
"__setup__.account_asset_depreciation_line_97359","__setup__.account_asset_asset_oca_590","590/30","30","false","2014-08-18","8.16","148.81","234.9","true"
"__setup__.account_asset_depreciation_line_97331","__setup__.account_asset_asset_oca_590","590/2","2","false","2012-04-18","8.16","377.29","6.42000000000002","true"
"__setup__.account_asset_depreciation_line_97334","__setup__.account_asset_asset_oca_590","590/5","5","false","2012-07-18","8.16","352.81","30.9000000000001","true"
"__setup__.account_asset_depreciation_line_97337","__setup__.account_asset_asset_oca_590","590/8","8","false","2012-10-18","8.16","328.33","55.3800000000002","true"
"__setup__.account_asset_depreciation_line_97340","__setup__.account_asset_asset_oca_590","590/11","11","false","2013-01-18","8.16","303.85","79.8600000000002","true"
"__setup__.account_asset_depreciation_line_97343","__setup__.account_asset_asset_oca_590","590/14","14","false","2013-04-18","8.16","279.37","104.34","true"
"__setup__.account_asset_depreciation_line_97346","__setup__.account_asset_asset_oca_590","590/17","17","false","2013-07-18","8.16","254.89","128.82","true"
"__setup__.account_asset_depreciation_line_97349","__setup__.account_asset_asset_oca_590","590/20","20","false","2013-10-18","8.16","230.41","153.3","true"
"__setup__.account_asset_depreciation_line_97352","__setup__.account_asset_asset_oca_590","590/23","23","false","2014-01-18","8.16","205.93","177.78","true"
"__setup__.account_asset_depreciation_line_97355","__setup__.account_asset_asset_oca_590","590/26","26","false","2014-04-18","8.16","181.45","202.26","true"
"__setup__.account_asset_depreciation_line_97358","__setup__.account_asset_asset_oca_590","590/29","29","false","2014-07-18","8.16","156.97","226.74","true"
"__setup__.account_asset_depreciation_line_97361","__setup__.account_asset_asset_oca_590","590/32","32","false","2014-10-18","8.16","132.49","251.22","true"
"__setup__.account_asset_depreciation_line_97364","__setup__.account_asset_asset_oca_590","590/35","35","false","2015-01-18","8.16","108.01","275.7","true"
"__setup__.account_asset_depreciation_line_97367","__setup__.account_asset_asset_oca_590","590/38","38","false","2015-04-18","8.16","83.53","300.18","true"
"__setup__.account_asset_depreciation_line_97370","__setup__.account_asset_asset_oca_590","590/41","41","false","2015-07-18","8.16","59.05","324.66","true"
"__setup__.account_asset_depreciation_line_97362","__setup__.account_asset_asset_oca_590","590/33","33","false","2014-11-18","8.16","124.33","259.38","true"
"__setup__.account_asset_depreciation_line_97365","__setup__.account_asset_asset_oca_590","590/36","36","false","2015-02-18","8.16","99.85","283.86","true"
"__setup__.account_asset_depreciation_line_97368","__setup__.account_asset_asset_oca_590","590/39","39","false","2015-05-18","8.16","75.37","308.34","true"
"__setup__.account_asset_depreciation_line_97371","__setup__.account_asset_asset_oca_590","590/42","42","false","2015-08-18","8.16","50.89","332.82","true"
"__setup__.account_asset_depreciation_line_97363","__setup__.account_asset_asset_oca_590","590/34","34","false","2014-12-18","8.16","116.17","267.54","true"
"__setup__.account_asset_depreciation_line_97366","__setup__.account_asset_asset_oca_590","590/37","37","false","2015-03-18","8.16","91.69","292.02","true"
"__setup__.account_asset_depreciation_line_97369","__setup__.account_asset_asset_oca_590","590/40","40","false","2015-06-18","8.16","67.21","316.5","true"
"__setup__.account_asset_depreciation_line_97372","__setup__.account_asset_asset_oca_590","590/43","43","false","2015-09-18","8.16","42.73","340.98","true"
"__setup__.account_asset_depreciation_line_97373","__setup__.account_asset_asset_oca_590","590/44","44","false","2015-10-18","8.16","34.57","349.14","true"
"__setup__.account_asset_depreciation_line_34884","__setup__.account_asset_asset_oca_590","590/47","47","true","2016-01-18","8.16","10.09","373.6200000000003","true"
"__setup__.account_asset_depreciation_line_99648","__setup__.account_asset_asset_oca_653","653/41","41","true","2017-05-01","94.65","662.62","3785.74","true"
"__setup__.account_asset_depreciation_line_34886","__setup__.account_asset_asset_oca_590","590/49","49","true","2016-03-18","1.93","0.0","389.9400000000003","true"
"__setup__.account_asset_depreciation_line_37635","__setup__.account_asset_asset_oca_653","653/23","23","true","2015-11-01","94.65","2366.32","2082.040000000001","true"
"__setup__.account_asset_depreciation_line_37636","__setup__.account_asset_asset_oca_653","653/24","24","true","2015-12-01","94.65","2271.67","2176.690000000001","true"
"__setup__.account_asset_depreciation_line_37637","__setup__.account_asset_asset_oca_653","653/25","25","true","2016-01-01","94.65","2177.02","2271.340000000001","true"
"__setup__.account_asset_depreciation_line_37638","__setup__.account_asset_asset_oca_653","653/26","26","true","2016-02-01","94.65","2082.37","2365.990000000001","true"
"__setup__.account_asset_depreciation_line_37639","__setup__.account_asset_asset_oca_653","653/27","27","true","2016-03-01","94.65","1987.72","2460.6400000000012","true"
"__setup__.account_asset_depreciation_line_37645","__setup__.account_asset_asset_oca_653","653/33","33","true","2016-09-01","94.65","1419.82","3028.540000000002","true"
"__setup__.account_asset_depreciation_line_37649","__setup__.account_asset_asset_oca_653","653/37","37","true","2017-01-01","94.65","1041.22","3407.140000000002","true"
"__setup__.account_asset_depreciation_line_108031","__setup__.account_asset_asset_oca_921","921/5","5","true","2017-02-13","42.65","1867.2","137.15","true"
"__setup__.account_asset_depreciation_line_108045","__setup__.account_asset_asset_oca_921","921/19","19","false","2018-04-13","42.65","1270.1","734.250000000002","true"
"__setup__.account_asset_depreciation_line_108043","__setup__.account_asset_asset_oca_921","921/17","17","false","2018-02-13","42.65","1355.4","648.950000000001","true"
"__setup__.account_asset_depreciation_line_108032","__setup__.account_asset_asset_oca_921","921/6","6","true","2017-03-13","42.65","1824.55","179.8","true"
"__setup__.account_asset_depreciation_line_108048","__setup__.account_asset_asset_oca_921","921/22","22","false","2018-07-13","42.65","1142.15","862.200000000002","true"
"__setup__.account_asset_depreciation_line_108051","__setup__.account_asset_asset_oca_921","921/25","25","false","2018-10-13","42.65","1014.2","990.150000000002","true"
"__setup__.account_asset_depreciation_line_108054","__setup__.account_asset_asset_oca_921","921/28","28","false","2019-01-13","42.65","886.25","1118.1","true"
"__setup__.account_asset_depreciation_line_108057","__setup__.account_asset_asset_oca_921","921/31","31","false","2019-04-13","42.65","758.3","1246.05","true"
"__setup__.account_asset_depreciation_line_108060","__setup__.account_asset_asset_oca_921","921/34","34","false","2019-07-13","42.65","630.35","1374.0","true"
"__setup__.account_asset_depreciation_line_108063","__setup__.account_asset_asset_oca_921","921/37","37","false","2019-10-13","42.65","502.4","1501.95","true"
"__setup__.account_asset_depreciation_line_108044","__setup__.account_asset_asset_oca_921","921/18","18","false","2018-03-13","42.65","1312.75","691.600000000002","true"
"__setup__.account_asset_depreciation_line_108046","__setup__.account_asset_asset_oca_921","921/20","20","false","2018-05-13","42.65","1227.45","776.900000000002","true"
"__setup__.account_asset_depreciation_line_108049","__setup__.account_asset_asset_oca_921","921/23","23","false","2018-08-13","42.65","1099.5","904.850000000002","true"
"__setup__.account_asset_depreciation_line_108052","__setup__.account_asset_asset_oca_921","921/26","26","false","2018-11-13","42.65","971.55","1032.8","true"
"__setup__.account_asset_depreciation_line_108055","__setup__.account_asset_asset_oca_921","921/29","29","false","2019-02-13","42.65","843.6","1160.75","true"
"__setup__.account_asset_depreciation_line_108058","__setup__.account_asset_asset_oca_921","921/32","32","false","2019-05-13","42.65","715.65","1288.7","true"
"__setup__.account_asset_depreciation_line_108061","__setup__.account_asset_asset_oca_921","921/35","35","false","2019-08-13","42.65","587.7","1416.65","true"
"__setup__.account_asset_depreciation_line_37647","__setup__.account_asset_asset_oca_653","653/35","35","true","2016-11-01","94.65","1230.52","3217.840000000002","true"
"__setup__.account_asset_depreciation_line_99623","__setup__.account_asset_asset_oca_653","653/1","1","false","2014-01-01","94.39","4448.62","0.0","true"
"__setup__.account_asset_depreciation_line_99626","__setup__.account_asset_asset_oca_653","653/4","4","false","2014-04-01","94.65","4164.67","283.69","true"
"__setup__.account_asset_depreciation_line_99629","__setup__.account_asset_asset_oca_653","653/7","7","false","2014-07-01","94.65","3880.72","567.639999999999","true"
"__setup__.account_asset_depreciation_line_99632","__setup__.account_asset_asset_oca_653","653/10","10","false","2014-10-01","94.65","3596.77","851.59","true"
"__setup__.account_asset_depreciation_line_99635","__setup__.account_asset_asset_oca_653","653/13","13","false","2015-01-01","94.65","3312.82","1135.54","true"
"__setup__.account_asset_depreciation_line_108042","__setup__.account_asset_asset_oca_921","921/16","16","false","2018-01-13","42.65","1398.05","606.300000000001","true"
"__setup__.account_asset_depreciation_line_108047","__setup__.account_asset_asset_oca_921","921/21","21","false","2018-06-13","42.65","1184.8","819.550000000002","true"
"__setup__.account_asset_depreciation_line_108050","__setup__.account_asset_asset_oca_921","921/24","24","false","2018-09-13","42.65","1056.85","947.500000000002","true"
"__setup__.account_asset_depreciation_line_108053","__setup__.account_asset_asset_oca_921","921/27","27","false","2018-12-13","42.65","928.9","1075.45","true"
"__setup__.account_asset_depreciation_line_108056","__setup__.account_asset_asset_oca_921","921/30","30","false","2019-03-13","42.65","800.95","1203.4","true"
"__setup__.account_asset_depreciation_line_108059","__setup__.account_asset_asset_oca_921","921/33","33","false","2019-06-13","42.65","673.0","1331.35","true"
"__setup__.account_asset_depreciation_line_108062","__setup__.account_asset_asset_oca_921","921/36","36","false","2019-09-13","42.65","545.05","1459.3","true"
"__setup__.account_asset_depreciation_line_108064","__setup__.account_asset_asset_oca_921","921/38","38","false","2019-11-13","42.65","459.75","1544.6","true"
"__setup__.account_asset_depreciation_line_108067","__setup__.account_asset_asset_oca_921","921/41","41","false","2020-02-13","42.65","331.8","1672.55","true"
"__setup__.account_asset_depreciation_line_108070","__setup__.account_asset_asset_oca_921","921/44","44","false","2020-05-13","42.65","203.85","1800.5","true"
"__setup__.account_asset_depreciation_line_108073","__setup__.account_asset_asset_oca_921","921/47","47","false","2020-08-13","42.65","75.9","1928.45","true"
"__setup__.account_asset_depreciation_line_108065","__setup__.account_asset_asset_oca_921","921/39","39","false","2019-12-13","42.65","417.1","1587.25","true"
"__setup__.account_asset_depreciation_line_108068","__setup__.account_asset_asset_oca_921","921/42","42","false","2020-03-13","42.65","289.15","1715.2","true"
"__setup__.account_asset_depreciation_line_108071","__setup__.account_asset_asset_oca_921","921/45","45","false","2020-06-13","42.65","161.2","1843.15","true"
"__setup__.account_asset_depreciation_line_108074","__setup__.account_asset_asset_oca_921","921/48","48","false","2020-09-13","42.65","33.25","1971.1","true"
"__setup__.account_asset_depreciation_line_108066","__setup__.account_asset_asset_oca_921","921/40","40","false","2020-01-13","42.65","374.45","1629.9","true"
"__setup__.account_asset_depreciation_line_108069","__setup__.account_asset_asset_oca_921","921/43","43","false","2020-04-13","42.65","246.5","1757.85","true"
"__setup__.account_asset_depreciation_line_108072","__setup__.account_asset_asset_oca_921","921/46","46","false","2020-07-13","42.65","118.55","1885.8","true"
"__setup__.account_asset_depreciation_line_108075","__setup__.account_asset_asset_oca_921","921/49","49","false","2020-10-13","33.25","0.0","2013.75","true"
"__setup__.account_asset_depreciation_line_99624","__setup__.account_asset_asset_oca_653","653/2","2","false","2014-02-01","94.65","4353.97","94.3900000000003","true"
"__setup__.account_asset_depreciation_line_99627","__setup__.account_asset_asset_oca_653","653/5","5","false","2014-05-01","94.65","4070.02","378.339999999999","true"
"__setup__.account_asset_depreciation_line_99630","__setup__.account_asset_asset_oca_653","653/8","8","false","2014-08-01","94.65","3786.07","662.29","true"
"__setup__.account_asset_depreciation_line_37640","__setup__.account_asset_asset_oca_653","653/28","28","true","2016-04-01","94.65","1893.07","2555.2900000000013","true"
"__setup__.account_asset_depreciation_line_37641","__setup__.account_asset_asset_oca_653","653/29","29","true","2016-05-01","94.65","1798.42","2649.9400000000014","true"
"__setup__.account_asset_depreciation_line_99633","__setup__.account_asset_asset_oca_653","653/11","11","false","2014-11-01","94.65","3502.12","946.24","true"
"__setup__.account_asset_depreciation_line_99636","__setup__.account_asset_asset_oca_653","653/14","14","false","2015-02-01","94.65","3218.17","1230.19","true"
"__setup__.account_asset_depreciation_line_99639","__setup__.account_asset_asset_oca_653","653/17","17","false","2015-05-01","94.65","2934.22","1514.14","true"
"__setup__.account_asset_depreciation_line_99642","__setup__.account_asset_asset_oca_653","653/20","20","false","2015-08-01","94.65","2650.27","1798.09","true"
"__setup__.account_asset_depreciation_line_99645","__setup__.account_asset_asset_oca_653","653/38","38","true","2017-02-01","94.65","946.57","3501.79","true"
"__setup__.account_asset_depreciation_line_99625","__setup__.account_asset_asset_oca_653","653/3","3","false","2014-03-01","94.65","4259.32","189.04","true"
"__setup__.account_asset_depreciation_line_99628","__setup__.account_asset_asset_oca_653","653/6","6","false","2014-06-01","94.65","3975.37","472.989999999999","true"
"__setup__.account_asset_depreciation_line_99631","__setup__.account_asset_asset_oca_653","653/9","9","false","2014-09-01","94.65","3691.42","756.94","true"
"__setup__.account_asset_depreciation_line_99634","__setup__.account_asset_asset_oca_653","653/12","12","false","2014-12-01","94.65","3407.47","1040.89","true"
"__setup__.account_asset_depreciation_line_99637","__setup__.account_asset_asset_oca_653","653/15","15","false","2015-03-01","94.65","3123.52","1324.84","true"
"__setup__.account_asset_depreciation_line_99640","__setup__.account_asset_asset_oca_653","653/18","18","false","2015-06-01","94.65","2839.57","1608.79","true"
"__setup__.account_asset_depreciation_line_99643","__setup__.account_asset_asset_oca_653","653/21","21","false","2015-09-01","94.65","2555.62","1892.74","true"
"__setup__.account_asset_depreciation_line_99646","__setup__.account_asset_asset_oca_653","653/39","39","true","2017-03-01","94.65","851.92","3596.44","true"
"__setup__.account_asset_depreciation_line_99638","__setup__.account_asset_asset_oca_653","653/16","16","false","2015-04-01","94.65","3028.87","1419.49","true"
"__setup__.account_asset_depreciation_line_99641","__setup__.account_asset_asset_oca_653","653/19","19","false","2015-07-01","94.65","2744.92","1703.44","true"
"__setup__.account_asset_depreciation_line_99644","__setup__.account_asset_asset_oca_653","653/22","22","false","2015-10-01","94.65","2460.97","1987.39","true"
"__setup__.account_asset_depreciation_line_99656","__setup__.account_asset_asset_oca_653","653/49","49","false","2018-01-01","0.07","0.0","4542.94","true"
"__setup__.account_asset_depreciation_line_99649","__setup__.account_asset_asset_oca_653","653/42","42","true","2017-06-01","94.65","567.97","3880.39","true"
"__setup__.account_asset_depreciation_line_37642","__setup__.account_asset_asset_oca_653","653/30","30","true","2016-06-01","94.65","1703.77","2744.5900000000015","true"
"__setup__.account_asset_depreciation_line_99651","__setup__.account_asset_asset_oca_653","653/44","44","true","2017-08-01","94.65","378.67","4069.69","true"
"__setup__.account_asset_depreciation_line_37643","__setup__.account_asset_asset_oca_653","653/31","31","true","2016-07-01","94.65","1609.12","2839.2400000000016","true"
"__setup__.account_asset_depreciation_line_37644","__setup__.account_asset_asset_oca_653","653/32","32","true","2016-08-01","94.65","1514.47","2933.8900000000017","true"
"__setup__.account_asset_depreciation_line_50656","__setup__.account_asset_asset_oca_921","921/1","1","true","2016-10-13","9.2","2037.8","0.0","true"
"__setup__.account_asset_depreciation_line_37648","__setup__.account_asset_asset_oca_653","653/36","36","true","2016-12-01","94.65","1135.87","3312.490000000002","true"
"__setup__.account_asset_depreciation_line_50657","__setup__.account_asset_asset_oca_921","921/2","2","true","2016-11-13","42.65","1995.15","9.200000000000045","true"
"__setup__.account_asset_depreciation_line_50658","__setup__.account_asset_asset_oca_921","921/3","3","true","2016-12-13","42.65","1952.5","51.850000000000136","true"
"__setup__.account_asset_depreciation_line_50659","__setup__.account_asset_asset_oca_921","921/4","4","true","2017-01-13","42.65","1909.85","94.50000000000023","true"
"__setup__.account_asset_depreciation_line_99647","__setup__.account_asset_asset_oca_653","653/40","40","true","2017-04-01","94.65","757.27","3691.09","true"
"__setup__.account_asset_depreciation_line_108033","__setup__.account_asset_asset_oca_921","921/7","7","true","2017-04-13","42.65","1781.9","222.450000000001","true"
"__setup__.account_asset_depreciation_line_108034","__setup__.account_asset_asset_oca_921","921/8","8","true","2017-05-13","42.65","1739.25","265.100000000001","true"
"__setup__.account_asset_depreciation_line_108035","__setup__.account_asset_asset_oca_921","921/9","9","true","2017-06-13","42.65","1696.6","307.750000000001","true"
"__setup__.account_asset_depreciation_line_108037","__setup__.account_asset_asset_oca_921","921/11","11","true","2017-08-13","42.65","1611.3","393.050000000001","true"
"__setup__.account_asset_depreciation_line_99650","__setup__.account_asset_asset_oca_653","653/43","43","true","2017-07-01","94.65","473.32","3975.04","true"
"__setup__.account_asset_depreciation_line_108036","__setup__.account_asset_asset_oca_921","921/10","10","true","2017-07-13","42.65","1653.95","350.400000000001","true"
"__setup__.account_asset_depreciation_line_99652","__setup__.account_asset_asset_oca_653","653/45","45","true","2017-09-01","94.65","284.02","4164.34","true"
"__setup__.account_asset_depreciation_line_108039","__setup__.account_asset_asset_oca_921","921/13","13","true","2017-10-13","42.65","1526.0","478.350000000001","true"
"__setup__.account_asset_depreciation_line_108038","__setup__.account_asset_asset_oca_921","921/12","12","true","2017-09-13","42.65","1568.65","435.700000000001","true"
"__setup__.account_asset_depreciation_line_99655","__setup__.account_asset_asset_oca_653","653/48","48","true","2017-12-01","94.65","0.07","4448.29","true"
"__setup__.account_asset_depreciation_line_108041","__setup__.account_asset_asset_oca_921","921/15","15","true","2017-12-13","42.65","1440.7","563.650000000001","true"
"__setup__.account_asset_depreciation_line_99654","__setup__.account_asset_asset_oca_653","653/47","47","true","2017-11-01","94.65","94.72","4353.64","true"
"__setup__.account_asset_depreciation_line_108040","__setup__.account_asset_asset_oca_921","921/14","14","true","2017-11-13","42.65","1483.35","521.000000000001","true"
